Credit,Partenaire,Durée_du_crédit,Type_de_produit,Montant_du_crédit,Montant_du_renouvelable,Situation_familliale,Nombre_enfant,Contrat_de_travail,Profession,Situation_logement,Sex,Age,Revenu
1,7,30.0,1,0.0,1000.0,3,1.0,2,3,0,0,39.0,1400.0
1,7,33.0,1,0.0,1000.0,0,2.0,0,1,0,0,52.0,2000.0
1,8,30.0,1,0.0,1000.0,0,0.0,2,3,3,1,21.0,750.0
1,8,4.0,1,122.58,3000.0,6,0.0,4,7,4,0,83.0,1600.0
1,2,15.0,0,499.99,499.99,0,0.0,2,5,1,1,41.0,1400.0
1,2,12.0,0,949.98,949.98,3,2.0,2,5,4,0,33.0,3000.0
1,2,20.0,0,967.98,967.98,0,0.0,2,5,1,1,26.0,1700.0
1,2,12.0,0,683.98,683.98,0,1.0,2,5,1,0,33.0,1700.0
1,2,12.0,0,923.98,923.98,3,0.0,2,5,4,1,55.0,3600.0
1,2,12.0,0,793.98,793.98,0,0.0,2,6,1,0,60.0,1400.0
1,2,12.0,0,999.0,999.0,3,0.0,2,5,1,0,51.0,3200.0
1,2,30.0,0,783.99,783.99,0,0.0,2,5,1,1,22.0,1800.0
1,8,30.0,1,0.0,1000.0,2,2.0,2,5,4,1,50.0,1500.0
1,2,5.0,0,100.0,100.0,0,1.0,2,3,1,0,20.0,1300.0
1,2,5.0,0,518.99,518.99,3,0.0,2,5,4,0,53.0,3600.0
1,2,20.0,0,643.99,643.99,0,0.0,2,5,1,1,20.0,1900.0
1,2,20.0,0,799.97,799.97,3,2.0,2,3,4,0,45.0,3000.0
1,2,12.0,0,399.99,399.99,0,0.0,4,7,1,0,67.0,1300.0
1,2,30.0,0,1599.99,1599.99,0,0.0,2,5,1,0,30.0,1350.0
1,2,20.0,0,1082.98,1082.98,0,0.0,2,5,4,0,59.0,2000.0
1,2,15.0,0,1382.98,1382.98,1,0.0,2,3,1,0,54.0,1200.0
1,2,30.0,0,1428.99,1428.99,1,1.0,2,3,1,0,48.0,1200.0
1,2,12.0,0,399.99,399.99,3,1.0,2,5,4,0,52.0,1300.0
1,2,10.0,1,658.99,2000.0,3,0.0,4,7,4,0,62.0,2500.0
1,8,3.0,1,307.47,3000.0,4,1.0,2,3,1,0,29.0,1700.0
1,2,4.0,0,483.99,483.99,3,0.0,4,7,4,0,69.0,2000.0
1,2,30.0,0,1999.0,1999.0,3,0.0,2,2,4,1,51.0,2800.0
1,2,10.0,1,483.99,2000.0,3,0.0,4,7,4,0,58.0,3000.0
1,2,20.0,0,1182.98,1182.98,0,0.0,2,5,1,1,27.0,2000.0
1,2,10.0,1,583.99,2000.0,0,0.0,4,7,1,1,70.0,2500.0
1,2,15.0,1,523.99,2000.0,0,0.0,4,7,4,0,63.0,1300.0
1,2,20.0,0,603.99,603.99,0,0.0,4,7,4,0,71.0,2000.0
1,2,5.0,0,199.99,199.99,0,0.0,2,5,1,1,37.0,2500.0
1,2,10.0,1,543.99,2000.0,0,0.0,2,5,1,1,23.0,1900.0
1,2,10.0,1,583.99,2000.0,3,2.0,2,3,0,1,42.0,1900.0
1,2,20.0,0,1337.98,1337.98,3,5.0,2,5,4,1,44.0,2700.0
1,2,5.0,0,483.99,483.99,0,0.0,2,5,1,0,25.0,2000.0
1,2,10.0,1,523.99,2000.0,3,1.0,2,3,2,1,29.0,1400.0
1,2,20.0,0,658.99,658.99,3,0.0,4,7,4,1,68.0,2400.0
