Credit,Partenaire,Durée_du_crédit,Type_de_produit,Montant_du_crédit,Montant_du_renouvelable,Situation_familliale,Nombre_enfant,Contrat_de_travail,Profession,Situation_logement,Sex,Age,Revenu,BaseScore,x1,x2,x3,x4,x6,x7,x12,Score
1,8,4.0,1,526.58,2000.0,6,0.0,4,7,4,0,66.0,1700.0,522.0,18.0,9.0,-7.0,9.0,37.0,-1.0,43.0,630.0
1,2,3.0,1,549.99,3000.0,1,0.0,2,6,2,1,54.0,1500.0,522.0,5.0,13.0,-7.0,9.0,-0.0,-1.0,15.0,556.0
1,8,10.0,0,576.39,576.39,2,0.0,2,6,1,1,46.0,1600.0,522.0,18.0,-3.0,0.0,9.0,-0.0,-1.0,7.0,552.0
1,8,10.0,0,1588.12,1588.12,3,1.0,2,3,0,0,32.0,2045.0,522.0,18.0,-3.0,0.0,-18.0,37.0,8.0,-7.0,557.0
1,2,12.0,0,428.99,428.99,0,0.0,4,4,1,0,47.0,1095.0,522.0,5.0,-9.0,0.0,12.0,-0.0,-1.0,7.0,536.0
1,8,4.0,0,249.0,249.0,2,1.0,1,3,1,0,32.0,1200.0,522.0,18.0,9.0,0.0,13.0,-0.0,8.0,-7.0,563.0
1,4,10.0,0,900.0,900.0,3,1.0,2,0,4,1,51.0,1800.0,522.0,5.0,-3.0,0.0,-18.0,37.0,8.0,15.0,566.0
1,2,5.0,0,299.99,299.99,3,0.0,4,7,4,1,69.0,1600.0,522.0,5.0,-3.0,0.0,13.0,37.0,-1.0,43.0,616.0
1,6,5.0,0,750.0,750.0,3,0.0,4,7,4,0,71.0,3600.0,522.0,5.0,-3.0,0.0,9.0,37.0,-1.0,43.0,612.0
1,8,10.0,0,364.7,364.7,0,2.0,2,3,1,0,50.0,1417.0,522.0,18.0,-3.0,0.0,12.0,-0.0,8.0,15.0,572.0
1,8,3.0,1,463.35,3000.0,3,0.0,2,6,0,1,49.0,1800.0,522.0,18.0,13.0,-7.0,12.0,37.0,-1.0,7.0,601.0
1,8,3.0,1,160.58,2000.0,0,0.0,2,3,1,1,20.0,1350.0,522.0,18.0,13.0,-7.0,13.0,-0.0,-1.0,-25.0,533.0
1,2,12.0,0,649.99,649.99,3,0.0,2,1,0,1,48.0,2500.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,7.0,570.0
1,8,4.0,1,298.37,2000.0,2,2.0,2,2,0,0,38.0,1700.0,522.0,18.0,9.0,-7.0,13.0,-0.0,8.0,7.0,570.0
1,2,3.0,0,299.99,299.99,2,0.0,1,3,1,0,20.0,1250.0,522.0,5.0,13.0,0.0,13.0,-0.0,-1.0,-25.0,527.0
1,8,4.0,1,506.4,3000.0,0,2.0,2,3,1,0,46.0,1900.0,522.0,18.0,9.0,-7.0,9.0,-0.0,8.0,7.0,566.0
1,8,10.0,1,329.78,3000.0,3,2.0,4,7,1,1,62.0,1447.0,522.0,18.0,-3.0,-7.0,12.0,37.0,8.0,24.0,611.0
1,8,4.0,1,170.48,2000.0,2,0.0,2,1,4,0,65.0,2000.0,522.0,18.0,9.0,-7.0,13.0,-0.0,-1.0,24.0,578.0
1,2,12.0,0,649.99,649.99,2,1.0,1,5,1,1,23.0,1500.0,522.0,5.0,-9.0,0.0,9.0,-0.0,8.0,-25.0,510.0
1,2,30.0,0,912.98,912.98,0,0.0,2,5,3,0,30.0,1450.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,-1.0,-7.0,492.0
1,8,4.0,0,197.98,197.98,2,1.0,2,3,1,1,32.0,2300.0,522.0,18.0,9.0,0.0,13.0,-0.0,8.0,-7.0,563.0
1,2,3.0,1,179.99,2000.0,3,2.0,2,2,0,0,43.0,2300.0,522.0,5.0,13.0,-7.0,13.0,37.0,8.0,7.0,598.0
1,2,10.0,1,368.99,2000.0,2,1.0,2,2,4,0,48.0,2000.0,522.0,5.0,-3.0,-7.0,12.0,-0.0,8.0,7.0,544.0
1,8,3.0,1,552.49,2000.0,3,2.0,2,5,3,1,34.0,1355.0,522.0,18.0,13.0,-7.0,9.0,37.0,8.0,-7.0,593.0
1,8,3.0,1,214.62,3000.0,0,0.0,2,5,3,1,22.0,1200.0,522.0,18.0,13.0,-7.0,13.0,-0.0,-1.0,-25.0,533.0
1,8,10.0,0,413.58,413.58,3,0.0,2,3,1,0,40.0,1108.0,522.0,18.0,-3.0,0.0,12.0,37.0,-1.0,7.0,592.0
1,8,10.0,0,635.6,635.6,3,3.0,2,3,0,1,38.0,1700.0,522.0,18.0,-3.0,0.0,9.0,37.0,8.0,7.0,598.0
1,6,20.0,0,3790.0,3790.0,3,0.0,4,7,4,1,78.0,6000.0,522.0,5.0,-9.0,0.0,-18.0,37.0,-1.0,43.0,579.0
1,2,12.0,0,733.99,733.99,3,3.0,2,3,0,1,43.0,2200.0,522.0,5.0,-9.0,0.0,9.0,37.0,8.0,7.0,579.0
1,8,4.0,0,460.54,460.54,3,2.0,1,6,0,0,38.0,1700.0,522.0,18.0,9.0,0.0,12.0,37.0,8.0,7.0,613.0
